公司代號,公司名稱,當月營收,上月營收,去年當月營收,上月比較增減(%),去年同月增減(%),當月累計營收,去年累計營收,前期比較增減(%)
1532,勤美,1099565.0,1596895,1346291,-31.14,-18.32,4864717,4874361,-0.19
1535,中宇,682762.0,857147,828833,-20.34,-17.62,3401950,3358358,1.29
1537,廣隆光電,655797.0,743917,679289,-11.84,-3.45,2664101,2662544,0.05
1538,正峰新,20565.0,29396,36354,-30.04,-43.43,98839,156673,-36.91
1539,巨庭機械,188440.0,212366,202041,-11.26,-6.73,830322,945044,-12.13
1540,喬福機械,72586.0,52580,42011,38.04,72.77,230186,139111,65.46
1541,錩泰,383227.0,328741,346278,16.57,10.67,1294869,1068991,21.13
1558,伸興,537176.0,397511,448523,35.13,19.76,1613072,1484647,8.65
1560,中砂,400295.0,417177,402504,-4.04,-0.54,1642219,1631121,0.68
1583,程泰,462119.0,562649,820702,-17.86,-43.69,1986206,2756017,-27.93
2049,上銀科技,1957222.0,1880117,2462095,4.10,-20.50,7005218,9015166,-22.29
2371,大同,2805065.0,2862887,5355186,-2.01,-47.61,10943874,21808690,-49.81
3167,大量科技,175636.0,147124,346009,19.37,-49.23,622358,1316443,-52.72
4526,東台,684094.0,1282165,1186515,-46.64,-42.34,3636164,3332991,9.09
4532,瑞智精密,2356716.0,2072428,2187252,13.71,7.74,7682380,8111709,-5.29
4540,全球傳動,192332.0,182598,320476,5.33,-39.98,695262,1066336,-34.79
4555,台灣氣立,120545.0,138278,158490,-12.82,-23.94,458993,537114,-14.54
4562,穎漢科技,99219.0,91931,125040,7.92,-20.65,357144,446661,-20.04
4564,元翎,292470.0,254504,213173,14.91,37.19,1034433,829933,24.64
4566,時碩工業,348746.0,311372,266838,12.00,30.69,1248472,1131998,10.28
4572,駐龍,77363.0,68815,62863,12.42,23.06,294188,226741,29.74
4576,大銀微系統,203471.0,201199,213524,1.12,-4.70,675602,879049,-23.14
8222,寶一科技,76260.0,60819,55632,25.38,37.07,268438,284712,-5.71
8374,羅昇,307295.0,301868,346454,1.79,-11.30,1049240,1260514,-16.76
8996,高力,168824.0,150592,152296,12.10,10.85,700535,524882,33.46
1603,華電,282191.0,215561,182246,30.91,54.84,735822,767632,-4.14
1604,聲寶,672274.0,592920,645659,13.38,4.12,2439352,2528145,-3.51
1605,華新,14156462.0,13674394,19606325,3.52,-27.79,51209199,70644671,-27.51
1608,華榮,602601.0,696543,697045,-13.48,-13.54,2466404,2949462,-16.37
